id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
17774850,S. João Porto Apartment (42382/AL),13776260,Francisco,PORTO,Paranhos,41.18233,-8.59702,Entire home/apt,75,2,6,2018-06-28,0.12,3,337
17783782,VILA NOVA DE GAIA Apartamento 6 personnes,87518152,Raoul,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.12511,-8.6192,Entire home/apt,65,3,23,2020-01-03,0.45,1,340
17784106,Charmosa e acolhedora casa com ambiente contemporâneo,28701258,Fernando,PORTO,Bonfim,41.14405,-8.59748,Entire home/apt,203,3,115,2021-06-23,2.31,2,271
17791387,No Porto. Central.,116280484,Antonio,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14478,-8.61235,Entire home/apt,36,3,129,2020-08-15,2.50,1,173
17793447,Charming Mezzanine Rooftop View,121567692,Maria,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15513,-8.61655,Entire home/apt,69,2,164,2019-10-26,3.15,1,313
17801603,Maison  de vacances !!!!,121649396,Joaquim,VILA DO CONDE,Fornelo e Vairão,41.32529,-8.67483,Entire home/apt,72,5,0,,,1,150
17806809,"Tudo a pé! Ribeira, Clérigos, Restaurantes e Bares",5415301,,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15067,-8.61234,Entire home/apt,60,3,178,2020-03-03,3.62,1,253
17810146,KOPKE 113 • 2BD lovely decorated with WiFi,71506208,Carolina,PORTO,Paranhos,41.16494,-8.6094,Entire home/apt,60,1,87,2019-06-25,1.69,38,325
17820588,Quarto em GAIA,119409086,Ana,VILA NOVA DE GAIA,Canidelo,41.13156,-8.6488,Private room,64,2,6,2019-06-09,0.12,1,180
17829219,Bright and Arty Apartment (up to 18 guests),118270240,Praça,PORTO,Bonfim,41.15988,-8.60314,Entire home/apt,244,3,57,2020-03-02,1.33,1,234
17829934,"Apartment Featuring Original Urban Art
- Trindade Station",121743415,Maria,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15189,-8.6082,Entire home/apt,95,3,102,2020-08-30,2.00,1,105
17838362,Old Tiles Apartment close to City hall - Aliados,122009987,Emanuel,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15262,-8.61141,Entire home/apt,100,2,49,2019-07-17,0.95,1,9
17838544,Modern Loft in City Center by LovelyStay,121998022,Andre,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1491,-8.60822,Entire home/apt,54,2,142,2020-09-29,2.78,2,228
